gene_id,mean_stage1,mean_stage3,log2_fold_change,t_statistic,p_value,fdr,significant,neg_log10_p,neg_log10_fdr,gene_name,gene_type,category
ENSG00000132341,6.845526445154952,7.261109223381131,0.4155827782261792,8.300551403035737,8.410368428985036e-16,1.479290305625122e-11,True,15.075184978854828,10.829946588843509,RAN,protein_coding,Significant (small FC)
ENSG00000143256,4.101407293205919,4.518778948418212,0.4173716552122926,8.279273682441806,9.856021757779479e-16,1.479290305625122e-11,True,15.00629834644658,10.829946588843509,PFDN2,protein_coding,Significant (small FC)
ENSG00000163938,6.920692795082989,7.267814679374585,0.34712188429159596,7.899325363337908,1.5897019023697206e-14,1.1929917926333568e-10,True,13.798684306052742,9.923362544113653,GNL3,protein_coding,Significant (small FC)
ENSG00000065911,5.858242690579162,6.469816342578719,0.6115736519995574,7.903710317294303,1.5403669280781535e-14,1.1929917926333568e-10,True,13.812375814320502,9.923362544113653,MTHFD2,protein_coding,Significant (small FC)
ENSG00000187840,3.051692949870769,3.7703414802097037,0.7186485303389349,7.672425679990376,7.976798699787794e-14,4.7889508674046e-10,True,13.098171367541907,9.319759618610874,EIF4EBP1,protein_coding,Significant (small FC)
ENSG00000156261,7.060314222394287,7.4247573465888355,0.3644431241945485,7.608507361484866,1.2483169187298338e-13,6.245329544405358e-10,True,12.903675143353276,9.204444640469866,CCT8,protein_coding,Significant (small FC)
ENSG00000198618,4.374049000685132,4.832074234426213,0.45802523374108084,7.490504353553875,2.831903992590789e-13,1.1441072640279695e-09,True,12.5479214742149,8.941533257018806,PPIAP22,processed_pseudogene,Significant (small FC)
ENSG00000136522,4.203824187989998,4.541731851902546,0.33790766391254845,7.479786959393187,3.0491232301365035e-13,1.1441072640279695e-09,True,12.515825023293916,8.941533257018806,MRPL47,protein_coding,Significant (small FC)
ENSG00000167862,3.6146644892391593,3.945705633538214,0.33104114429905485,7.438894598478678,4.0393390066483214e-13,1.1510742508532738e-09,True,12.393689696585312,8.93889666099594,MRPL58,protein_coding,Significant (small FC)
ENSG00000137547,4.141459269894324,4.62540420805064,0.48394493815631634,7.436144453389766,4.1162861764517654e-13,1.1510742508532738e-09,True,12.385494439416547,8.93889666099594,MRPL15,protein_coding,Significant (small FC)
ENSG00000106105,7.2461948457125365,7.683791002558118,0.43759615684558195,7.4325832280836455,4.218074741617033e-13,1.1510742508532738e-09,True,12.374885729104768,8.93889666099594,GARS1,protein_coding,Significant (small FC)
ENSG00000128626,4.318788947156102,4.667876859177861,0.3490879120217594,7.3662252080387844,6.638419174634942e-13,1.6606005565349305e-09,True,12.17793532808239,8.779734820862961,MRPS12,protein_coding,Significant (small FC)
ENSG00000239672,3.836446847990405,4.253672294555824,0.41722544656541904,7.326062477641602,8.721586432329469e-13,1.747923402826128e-09,True,12.059404510922807,8.757477602856543,NME1,protein_coding,Significant (small FC)
ENSG00000143771,3.646328387445799,4.032677956616997,0.3863495691711978,7.32584637079292,8.734376388297662e-13,1.747923402826128e-09,True,12.058768097067915,8.757477602856543,CNIH4,protein_coding,Significant (small FC)
ENSG00000284753,1.487018429932986,1.971786849290462,0.48476841935747594,7.335160194777986,8.199554011525148e-13,1.747923402826128e-09,True,12.086209769031052,8.757477602856543,EEF1AKMT4,protein_coding,Significant (small FC)
ENSG00000150779,3.6154353066515816,4.176928589610632,0.56149328295905,7.292772078460824,1.0925938552842863e-12,2.0498426467452317e-09,True,11.961541246273963,8.688279475662835,TIMM8B,protein_coding,Significant (small FC)
ENSG00000123975,3.4859832935717696,4.143110737124752,0.6571274435529828,7.258827271506383,1.3736781831084125e-12,2.425592452973431e-09,True,11.86211499920541,8.61518216731663,CKS2,protein_coding,Significant (small FC)
ENSG00000188747,2.9441367872418436,2.2706637873692466,-0.673472999872597,-7.2487017254500605,1.4705256990541866e-12,2.4523466907893653e-09,True,11.83252738131679,8.610418133153043,NOXA1,protein_coding,Significant (small FC)
ENSG00000100029,5.243305737217346,5.595152919334639,0.35184718211729304,7.178792847303465,2.3488917619791334e-12,3.4649993480159983e-09,True,11.629136995252294,8.460296842770235,PES1,protein_coding,Significant (small FC)
ENSG00000261236,5.130296688167736,5.622273841088973,0.4919771529212378,7.174072308232722,2.424045116541274e-12,3.4649993480159983e-09,True,11.61545930130337,8.460296842770235,BOP1,protein_coding,Significant (small FC)
ENSG00000184220,4.4104637707642365,4.828377153571947,0.4179133828077104,7.186437509005209,2.2320177224618047e-12,3.4649993480159983e-09,True,11.651302361375672,8.460296842770235,CMSS1,protein_coding,Significant (small FC)
ENSG00000166226,6.170073515974462,6.5102235614470745,0.34015004547261274,7.137618954319696,3.089756187660219e-12,4.215831874599294e-09,True,11.51007578935556,8.375116716910712,CCT2,protein_coding,Significant (small FC)
ENSG00000265354,4.249614823483481,4.5423522308810895,0.2927374073976088,7.097417925918087,4.0331939348704885e-12,5.263844153780101e-09,True,11.394350894575792,8.278696977326332,TIMM23,protein_coding,Significant (small FC)
ENSG00000105185,5.594734786160671,5.9559886123850765,0.3612538262244058,7.0849042835542235,4.380925223165775e-12,5.479442222874593e-09,True,11.358434159614253,8.261263648058806,PDCD5,protein_coding,Significant (small FC)
ENSG00000142864,7.114988051621678,7.457573513785646,0.3425854621639681,7.067100287077116,4.926974587102358e-12,5.915916926225543e-09,True,11.307419677771707,8.227977933176692,SERBP1,protein_coding,Significant (small FC)
